001979 招商蛇口 1分钟线 不复权
      日期	    时间	    开盘	    最高	    最低	    收盘	    成交量	    成交额
2020/11/26	0931	14.42	14.52	14.41	14.47	409400	5906686.00
2020/11/26	0932	14.47	14.50	14.47	14.50	31100	450635.00
2020/11/26	0933	14.51	14.51	14.48	14.50	36100	523317.00
2020/11/26	0934	14.48	14.49	14.46	14.47	85100	1231943.00
2020/11/26	0935	14.48	14.53	14.48	14.50	42400	615187.00
2020/11/26	0936	14.51	14.52	14.50	14.52	15800	229781.00
2020/11/26	0937	14.52	14.52	14.47	14.48	123300	1785773.00
2020/11/26	0938	14.48	14.51	14.48	14.50	16700	242181.00
2020/11/26	0939	14.50	14.52	14.50	14.52	27500	398929.00
2020/11/26	0940	14.52	14.52	14.50	14.50	23000	333726.00
2020/11/26	0941	14.50	14.51	14.48	14.50	179300	2599834.00
2020/11/26	0942	14.48	14.50	14.47	14.47	70500	1020597.00
2020/11/26	0943	14.47	14.47	14.45	14.45	95200	1377023.00
2020/11/26	0944	14.45	14.48	14.45	14.47	33500	483654.00
2020/11/26	0945	14.47	14.48	14.46	14.47	23300	337252.00
2020/11/26	0946	14.47	14.47	14.46	14.46	50800	734654.00
2020/11/26	0947	14.45	14.46	14.45	14.45	37000	534820.00
2020/11/26	0948	14.47	14.47	14.44	14.45	83900	1212366.00
2020/11/26	0949	14.45	14.45	14.43	14.44	22600	326338.00
2020/11/26	0950	14.44	14.44	14.40	14.41	193800	2793660.00
2020/11/26	0951	14.41	14.42	14.38	14.39	157700	2270424.00
2020/11/26	0952	14.40	14.41	14.40	14.41	20200	291032.00
2020/11/26	0953	14.41	14.41	14.40	14.40	25300	364378.00
2020/11/26	0954	14.41	14.41	14.37	14.40	144100	2073070.00
2020/11/26	0955	14.40	14.41	14.39	14.41	19700	283660.00
2020/11/26	0956	14.40	14.40	14.39	14.40	26500	381412.00
2020/11/26	0957	14.40	14.40	14.39	14.39	17100	246094.00
2020/11/26	0958	14.39	14.39	14.36	14.38	52800	759104.00
2020/11/26	0959	14.37	14.38	14.36	14.37	38200	548700.00
2020/11/26	1000	14.37	14.39	14.37	14.38	37800	543520.00
2020/11/26	1001	14.38	14.39	14.37	14.38	40500	582238.00
2020/11/26	1002	14.39	14.41	14.39	14.41	31200	449184.00
2020/11/26	1003	14.41	14.42	14.40	14.41	22400	322632.00
2020/11/26	1004	14.41	14.41	14.40	14.41	15300	220370.00
2020/11/26	1005	14.41	14.42	14.40	14.40	34900	502678.00
2020/11/26	1006	14.40	14.40	14.39	14.40	24000	345376.00
2020/11/26	1007	14.39	14.41	14.38	14.40	27500	395848.00
2020/11/26	1008	14.40	14.43	14.39	14.39	46800	674084.00
2020/11/26	1009	14.43	14.45	14.40	14.45	65800	949444.00
2020/11/26	1010	14.40	14.43	14.40	14.43	37900	546220.00
2020/11/26	1011	14.43	14.45	14.41	14.42	26900	388144.00
2020/11/26	1012	14.43	14.44	14.42	14.43	26600	383948.00
2020/11/26	1013	14.42	14.43	14.42	14.42	31100	448520.00
2020/11/26	1014	14.43	14.48	14.42	14.42	85800	1240204.00
2020/11/26	1015	14.42	14.44	14.41	14.44	10200	147084.00
2020/11/26	1016	14.44	14.48	14.42	14.48	63700	920796.00
2020/11/26	1017	14.48	14.49	14.44	14.48	48600	703188.00
2020/11/26	1018	14.45	14.48	14.44	14.44	41100	594124.00
2020/11/26	1019	14.48	14.50	14.44	14.45	50000	723520.00
2020/11/26	1020	14.49	14.49	14.44	14.44	27600	398992.00
2020/11/26	1021	14.44	14.49	14.44	14.49	98300	1421808.00
2020/11/26	1022	14.49	14.49	14.44	14.47	23600	341304.00
2020/11/26	1023	14.47	14.50	14.46	14.49	190000	2749644.00
2020/11/26	1024	14.49	14.49	14.42	14.44	54900	793104.00
2020/11/26	1025	14.44	14.47	14.42	14.45	46300	668156.00
2020/11/26	1026	14.43	14.45	14.43	14.43	76400	1101612.00
2020/11/26	1027	14.44	14.44	14.41	14.41	35700	515428.00
2020/11/26	1028	14.41	14.41	14.39	14.40	49400	711436.00
2020/11/26	1029	14.39	14.44	14.39	14.40	57500	828572.00
2020/11/26	1030	14.41	14.41	14.40	14.40	65400	942144.00
2020/11/26	1031	14.40	14.42	14.40	14.41	72600	1045896.00
2020/11/26	1032	14.40	14.41	14.40	14.40	44300	637960.00
2020/11/26	1033	14.39	14.43	14.39	14.39	53900	776056.00
2020/11/26	1034	14.40	14.40	14.38	14.38	45100	648940.00
2020/11/26	1035	14.38	14.42	14.38	14.39	77000	1107520.00
2020/11/26	1036	14.39	14.42	14.38	14.39	51500	740792.00
2020/11/26	1037	14.38	14.39	14.36	14.37	79800	1146872.00
2020/11/26	1038	14.37	14.37	14.36	14.36	77200	1109020.00
2020/11/26	1039	14.36	14.37	14.36	14.36	39900	573132.00
2020/11/26	1040	14.36	14.43	14.36	14.38	57900	832260.00
2020/11/26	1041	14.38	14.41	14.36	14.36	75000	1077488.00
2020/11/26	1042	14.35	14.36	14.34	14.35	168300	2415628.00
2020/11/26	1043	14.35	14.36	14.34	14.35	59300	851036.00
2020/11/26	1044	14.35	14.38	14.34	14.38	52800	757664.00
2020/11/26	1045	14.38	14.38	14.34	14.35	43700	627432.00
2020/11/26	1046	14.38	14.38	14.35	14.35	63400	909728.00
2020/11/26	1047	14.36	14.40	14.35	14.37	21800	312936.00
2020/11/26	1048	14.37	14.37	14.34	14.35	29800	427728.00
2020/11/26	1049	14.34	14.38	14.34	14.37	54800	786720.00
2020/11/26	1050	14.38	14.38	14.35	14.36	31600	453968.00
2020/11/26	1051	14.35	14.37	14.33	14.34	114100	1637000.00
2020/11/26	1052	14.34	14.38	14.34	14.36	44700	641456.00
2020/11/26	1053	14.35	14.37	14.33	14.37	41000	588008.00
2020/11/26	1054	14.34	14.37	14.33	14.35	55700	798344.00
2020/11/26	1055	14.35	14.38	14.33	14.37	48000	688392.00
2020/11/26	1056	14.36	14.38	14.33	14.37	36600	524992.00
2020/11/26	1057	14.38	14.38	14.36	14.37	30400	436320.00
2020/11/26	1058	14.37	14.37	14.34	14.36	32500	466488.00
2020/11/26	1059	14.37	14.38	14.34	14.38	39700	569648.00
2020/11/26	1100	14.37	14.38	14.34	14.36	29700	426360.00
2020/11/26	1101	14.34	14.37	14.33	14.35	58700	841816.00
2020/11/26	1102	14.34	14.37	14.34	14.36	48000	688672.00
2020/11/26	1103	14.35	14.37	14.34	14.37	51800	743592.00
2020/11/26	1104	14.36	14.37	14.34	14.36	37500	538240.00
2020/11/26	1105	14.37	14.39	14.35	14.38	52700	757440.00
2020/11/26	1106	14.38	14.38	14.35	14.38	36700	527360.00
2020/11/26	1107	14.38	14.38	14.36	14.38	37600	540168.00
2020/11/26	1108	14.39	14.40	14.35	14.39	37200	534216.00
2020/11/26	1109	14.36	14.40	14.36	14.37	41400	594864.00
2020/11/26	1110	14.37	14.38	14.34	14.35	33200	476544.00
2020/11/26	1111	14.35	14.38	14.35	14.35	31300	449216.00
2020/11/26	1112	14.36	14.38	14.35	14.36	37600	539928.00
2020/11/26	1113	14.36	14.39	14.35	14.39	50800	729576.00
2020/11/26	1114	14.39	14.39	14.36	14.39	40800	586096.00
2020/11/26	1115	14.36	14.39	14.35	14.37	30100	432336.00
2020/11/26	1116	14.35	14.39	14.35	14.38	46400	666208.00
2020/11/26	1117	14.39	14.39	14.35	14.39	32400	465272.00
2020/11/26	1118	14.39	14.39	14.35	14.36	33300	478112.00
2020/11/26	1119	14.39	14.39	14.34	14.39	35600	510944.00
2020/11/26	1120	14.38	14.38	14.35	14.36	35900	515192.00
2020/11/26	1121	14.36	14.36	14.34	14.35	36700	526616.00
2020/11/26	1122	14.35	14.37	14.34	14.34	93600	1343752.00
2020/11/26	1123	14.34	14.36	14.33	14.33	51800	742576.00
2020/11/26	1124	14.32	14.33	14.30	14.30	248200	3551288.00
2020/11/26	1125	14.30	14.31	14.29	14.31	81800	1169608.00
