002352 顺丰控股 1分钟线 不复权
      日期	    时间	    开盘	    最高	    最低	    收盘	    成交量	    成交额
2020/11/26	0931	76.32	76.60	76.01	76.20	232000	17699400.00
2020/11/26	0932	76.20	76.20	76.06	76.06	53600	4079628.00
2020/11/26	0933	76.08	76.20	76.06	76.20	46600	3546958.00
2020/11/26	0934	76.15	76.79	76.15	76.72	60600	4633490.00
2020/11/26	0935	76.56	76.56	76.34	76.52	57900	4428448.00
2020/11/26	0936	76.53	76.53	76.37	76.39	53100	4060168.00
2020/11/26	0937	76.39	76.39	76.35	76.38	41400	3161824.00
2020/11/26	0938	76.37	76.45	76.36	76.43	51900	3965968.00
2020/11/26	0939	76.48	76.48	76.30	76.30	46400	3545012.00
2020/11/26	0940	76.28	76.30	76.13	76.15	62200	4740420.00
2020/11/26	0941	76.13	76.45	76.08	76.36	97200	7409580.00
2020/11/26	0942	76.30	76.38	76.30	76.36	73800	5632832.00
2020/11/26	0943	76.36	76.41	76.33	76.41	45500	3475072.00
2020/11/26	0944	76.41	76.44	76.35	76.41	43700	3338920.00
2020/11/26	0945	76.41	76.41	76.31	76.32	33500	2558016.00
2020/11/26	0946	76.30	76.31	76.28	76.28	30100	2296456.00
2020/11/26	0947	76.28	76.28	76.10	76.11	43200	3290048.00
2020/11/26	0948	76.10	76.16	76.10	76.16	96800	7368552.00
2020/11/26	0949	76.16	76.22	76.11	76.15	74900	5704592.00
2020/11/26	0950	76.15	76.16	76.03	76.06	56300	4284736.00
2020/11/26	0951	76.00	76.06	76.00	76.00	203200	15445400.00
2020/11/26	0952	76.03	76.15	76.00	76.15	82200	6252680.00
2020/11/26	0953	76.15	76.15	76.04	76.08	44100	3355608.00
2020/11/26	0954	76.05	76.07	75.88	75.89	204200	15514576.00
2020/11/26	0955	75.89	75.89	75.81	75.84	116500	8837888.00
2020/11/26	0956	75.87	76.03	75.86	76.03	112600	8552880.00
2020/11/26	0957	76.02	76.03	75.90	75.90	75900	5767808.00
2020/11/26	0958	75.93	75.95	75.90	75.90	51300	3895120.00
2020/11/26	0959	75.90	75.90	75.83	75.84	47600	3606608.00
2020/11/26	1000	75.83	75.83	75.75	75.80	122200	9267648.00
2020/11/26	1001	75.79	75.92	75.78	75.84	101700	7706912.00
2020/11/26	1002	75.85	75.95	75.85	75.95	81000	6146400.00
2020/11/26	1003	75.91	75.91	75.85	75.86	43300	3285872.00
2020/11/26	1004	75.84	75.86	75.80	75.80	43700	3313520.00
2020/11/26	1005	75.81	75.81	75.76	75.77	64200	4869504.00
2020/11/26	1006	75.76	75.76	75.66	75.68	68300	5171648.00
2020/11/26	1007	75.66	75.76	75.63	75.76	92400	6990224.00
2020/11/26	1008	75.75	75.78	75.74	75.75	42700	3234624.00
2020/11/26	1009	75.75	75.76	75.72	75.72	61900	4688640.00
2020/11/26	1010	75.74	75.85	75.73	75.85	100600	7621984.00
2020/11/26	1011	75.81	75.89	75.80	75.84	58700	4451392.00
2020/11/26	1012	75.81	75.82	75.77	75.77	65300	4949712.00
2020/11/26	1013	75.78	75.79	75.75	75.75	27300	2068528.00
2020/11/26	1014	75.75	75.85	75.75	75.84	62600	4745712.00
2020/11/26	1015	75.82	75.94	75.82	75.94	27700	2101408.00
2020/11/26	1016	75.97	76.00	75.90	75.96	49800	3782080.00
2020/11/26	1017	75.98	76.00	75.91	75.91	54000	4103264.00
2020/11/26	1018	75.90	75.98	75.88	75.97	27200	2065824.00
2020/11/26	1019	75.90	75.98	75.88	75.91	28000	2126528.00
2020/11/26	1020	75.93	75.95	75.90	75.90	21600	1639952.00
2020/11/26	1021	75.91	75.93	75.81	75.81	61200	4644064.00
2020/11/26	1022	75.82	75.90	75.81	75.89	33500	2541824.00
2020/11/26	1023	75.90	75.93	75.82	75.84	42700	3239552.00
2020/11/26	1024	75.84	75.90	75.81	75.81	24500	1858368.00
2020/11/26	1025	75.81	75.85	75.70	75.80	88400	6696448.00
2020/11/26	1026	75.80	75.89	75.77	75.79	22700	1721120.00
2020/11/26	1027	75.78	75.83	75.75	75.83	59400	4503072.00
2020/11/26	1028	75.80	75.84	75.78	75.78	104300	7908160.00
2020/11/26	1029	75.77	75.83	75.77	75.83	74800	5669856.00
2020/11/26	1030	75.82	75.85	75.77	75.84	55100	4176864.00
2020/11/26	1031	75.85	76.12	75.84	76.06	134600	10227744.00
2020/11/26	1032	76.06	76.11	76.02	76.06	20300	1544096.00
2020/11/26	1033	76.05	76.06	76.00	76.00	19400	1475296.00
2020/11/26	1034	76.02	76.02	75.94	75.97	25800	1960128.00
2020/11/26	1035	75.95	75.95	75.87	75.87	21600	1639520.00
2020/11/26	1036	75.87	75.98	75.85	75.92	40900	3105536.00
2020/11/26	1037	75.92	76.00	75.90	76.00	38300	2909056.00
2020/11/26	1038	76.00	76.01	75.95	75.95	50400	3829792.00
2020/11/26	1039	75.96	75.96	75.88	75.88	29600	2247008.00
2020/11/26	1040	75.88	75.92	75.48	75.55	372700	28195296.00
2020/11/26	1041	75.53	75.62	75.51	75.61	89500	6764576.00
2020/11/26	1042	75.60	75.71	75.60	75.64	40800	3085856.00
2020/11/26	1043	75.68	75.73	75.63	75.63	50300	3807136.00
2020/11/26	1044	75.63	75.63	75.57	75.57	42700	3228416.00
2020/11/26	1045	75.57	75.60	75.55	75.57	46900	3544576.00
2020/11/26	1046	75.56	75.56	75.50	75.51	86700	6548160.00
2020/11/26	1047	75.50	75.51	75.48	75.50	64200	4847008.00
2020/11/26	1048	75.51	75.51	75.48	75.50	32500	2453856.00
2020/11/26	1049	75.50	75.51	75.46	75.46	46100	3480064.00
2020/11/26	1050	75.47	75.47	75.38	75.38	60300	4547424.00
2020/11/26	1051	75.38	75.40	75.37	75.38	59300	4473888.00
2020/11/26	1052	75.37	75.39	75.34	75.34	58300	4390208.00
2020/11/26	1053	75.34	75.35	75.20	75.21	97600	7347008.00
2020/11/26	1054	75.21	75.21	75.13	75.14	89700	6742656.00
2020/11/26	1055	75.14	75.25	75.11	75.20	203500	15304160.00
2020/11/26	1056	75.25	75.28	75.25	75.26	52300	3936128.00
2020/11/26	1057	75.26	75.27	75.21	75.23	49100	3694784.00
2020/11/26	1058	75.23	75.23	75.19	75.19	68500	5151584.00
2020/11/26	1059	75.19	75.25	75.19	75.22	58400	4390624.00
2020/11/26	1100	75.28	75.30	75.22	75.26	68000	5116160.00
2020/11/26	1101	75.28	75.33	75.22	75.31	47200	3553376.00
2020/11/26	1102	75.24	75.37	75.24	75.36	40400	3043616.00
2020/11/26	1103	75.35	75.49	75.35	75.49	57400	4328288.00
2020/11/26	1104	75.49	75.49	75.36	75.36	64500	4863168.00
2020/11/26	1105	75.37	75.40	75.30	75.38	82900	6247712.00
2020/11/26	1106	75.38	75.38	75.31	75.33	34900	2628896.00
2020/11/26	1107	75.32	75.36	75.22	75.33	69100	5202720.00
2020/11/26	1108	75.35	75.37	75.24	75.36	26000	1958496.00
2020/11/26	1109	75.38	75.49	75.31	75.41	60000	4524256.00
2020/11/26	1110	75.46	75.51	75.37	75.43	65200	4919680.00
2020/11/26	1111	75.46	75.53	75.42	75.53	33600	2535360.00
2020/11/26	1112	75.54	75.54	75.50	75.53	40900	3089184.00
