002594 比亚迪 1分钟线 不复权
      日期	    时间	    开盘	    最高	    最低	    收盘	    成交量	    成交额
2020/11/26	0931	183.61	184.80	181.60	182.00	1726300	316375776.00
2020/11/26	0932	182.00	182.44	181.30	181.36	614300	111809024.00
2020/11/26	0933	181.15	181.15	179.00	179.00	621000	111873248.00
2020/11/26	0934	179.00	180.21	178.40	180.21	1281800	230176192.00
2020/11/26	0935	180.21	180.21	179.05	179.30	976000	175184320.00
2020/11/26	0936	179.39	179.95	179.27	179.95	659700	118449088.00
2020/11/26	0937	180.06	180.37	178.88	178.88	730300	131153408.00
2020/11/26	0938	178.80	178.80	177.21	177.70	1349400	240084992.00
2020/11/26	0939	177.87	177.87	176.73	176.81	1435600	254749952.00
2020/11/26	0940	176.73	177.25	176.31	176.71	1347600	238350848.00
2020/11/26	0941	176.75	178.00	176.75	178.00	618700	109703424.00
2020/11/26	0942	178.50	178.50	178.02	178.21	462900	82512000.00
2020/11/26	0943	178.00	178.00	177.33	177.33	431500	76700800.00
2020/11/26	0944	177.40	178.28	177.21	178.28	508100	90248192.00
2020/11/26	0945	178.29	178.29	177.87	177.88	375900	66916864.00
2020/11/26	0946	177.90	179.00	177.89	178.77	348500	62172416.00
2020/11/26	0947	178.99	179.25	178.65	178.65	318900	57056000.00
2020/11/26	0948	178.66	178.66	178.00	178.00	202500	36125184.00
2020/11/26	0949	177.95	177.95	177.56	177.56	360500	64094976.00
2020/11/26	0950	177.54	177.54	177.01	177.01	583400	103352320.00
2020/11/26	0951	177.02	177.62	176.96	177.62	551300	97678336.00
2020/11/26	0952	177.50	177.50	176.70	177.38	850900	150533888.00
2020/11/26	0953	177.38	177.38	176.40	176.49	586000	103505408.00
2020/11/26	0954	176.50	176.55	175.70	175.76	913400	160928768.00
2020/11/26	0955	175.71	176.38	175.56	176.30	715700	125913856.00
2020/11/26	0956	176.38	176.38	175.70	175.70	441300	77669632.00
2020/11/26	0957	175.70	176.22	175.70	176.22	370000	65124864.00
2020/11/26	0958	176.23	177.00	176.23	176.90	386300	68157696.00
2020/11/26	0959	176.61	176.90	176.38	176.41	226500	39996416.00
2020/11/26	1000	176.40	176.40	176.04	176.37	242800	42794496.00
2020/11/26	1001	176.46	177.31	176.42	177.31	209600	37048576.00
2020/11/26	1002	177.35	177.35	176.13	176.24	215800	38125056.00
2020/11/26	1003	176.17	176.19	176.03	176.10	303900	53515520.00
2020/11/26	1004	176.07	176.07	175.85	175.90	500600	88094464.00
2020/11/26	1005	175.90	175.90	175.66	175.68	368300	64737024.00
2020/11/26	1006	175.63	175.68	175.30	175.30	520100	91303424.00
2020/11/26	1007	175.29	175.29	175.00	175.10	767400	134350080.00
2020/11/26	1008	175.11	175.30	175.11	175.30	427700	74899456.00
2020/11/26	1009	175.20	175.31	175.00	175.20	619200	108429824.00
2020/11/26	1010	175.18	175.18	174.81	174.93	650900	113930752.00
2020/11/26	1011	174.80	174.88	174.30	174.30	452500	78991872.00
2020/11/26	1012	174.27	174.27	173.50	173.72	894600	155534848.00
2020/11/26	1013	173.80	174.45	173.80	174.39	641200	111640064.00
2020/11/26	1014	174.38	174.57	174.38	174.57	306100	53402112.00
2020/11/26	1015	174.57	174.75	174.56	174.75	275400	48088064.00
2020/11/26	1016	174.70	174.70	173.88	173.88	318400	55456768.00
2020/11/26	1017	173.86	174.13	173.61	174.13	504200	87599104.00
2020/11/26	1018	174.20	174.20	173.02	173.03	548000	95055360.00
2020/11/26	1019	173.01	173.02	172.22	172.58	763800	131994624.00
