002714 牧原股份 1分钟线 不复权
      日期	    时间	    开盘	    最高	    最低	    收盘	    成交量	    成交额
2020/11/26	0931	73.10	73.69	73.10	73.52	529500	38836892.00
2020/11/26	0932	73.51	73.51	73.30	73.46	251300	18449836.00
2020/11/26	0933	73.30	73.40	73.25	73.25	228900	16787392.00
2020/11/26	0934	73.25	73.25	73.13	73.14	192400	14078064.00
2020/11/26	0935	73.12	73.16	72.79	72.79	212000	15491680.00
2020/11/26	0936	72.83	73.07	72.80	73.07	144100	10505976.00
2020/11/26	0937	73.05	73.08	72.89	73.02	208600	15222984.00
2020/11/26	0938	73.01	73.29	73.01	73.29	171600	12553112.00
2020/11/26	0939	73.30	73.57	73.30	73.57	332600	24430048.00
2020/11/26	0940	73.59	73.99	73.59	73.94	355700	26253648.00
2020/11/26	0941	73.97	74.38	73.97	74.26	641300	47557184.00
2020/11/26	0942	74.21	74.21	74.08	74.08	302600	22447520.00
2020/11/26	0943	73.99	74.00	73.87	73.87	184200	13624128.00
2020/11/26	0944	73.88	73.92	73.81	73.92	151300	11175360.00
2020/11/26	0945	73.93	74.20	73.93	74.20	366900	27165344.00
2020/11/26	0946	74.25	74.25	73.96	74.01	335700	24889088.00
2020/11/26	0947	74.01	74.11	74.01	74.10	131300	9724704.00
2020/11/26	0948	74.10	74.18	74.10	74.15	176700	13094272.00
2020/11/26	0949	74.15	74.15	73.99	73.99	152900	11327840.00
2020/11/26	0950	73.98	73.98	73.85	73.85	96900	7162144.00
2020/11/26	0951	73.85	73.85	73.76	73.76	76000	5609664.00
2020/11/26	0952	73.74	73.78	73.73	73.78	163500	12052480.00
2020/11/26	0953	73.80	73.80	73.77	73.80	90200	6661024.00
2020/11/26	0954	73.80	73.80	73.70	73.70	103600	7642400.00
2020/11/26	0955	73.71	73.71	73.37	73.39	100500	7394240.00
2020/11/26	0956	73.38	73.49	73.35	73.46	145900	10710112.00
2020/11/26	0957	73.45	73.59	73.45	73.58	53000	3895840.00
2020/11/26	0958	73.59	73.68	73.59	73.68	73000	5374048.00
2020/11/26	0959	73.69	73.78	73.69	73.78	52900	3900320.00
2020/11/26	1000	73.78	73.87	73.78	73.87	55800	4119104.00
2020/11/26	1001	73.86	73.90	73.85	73.88	84600	6249440.00
2020/11/26	1002	73.87	73.87	73.79	73.84	59400	4386016.00
2020/11/26	1003	73.80	73.84	73.79	73.80	61500	4539456.00
2020/11/26	1004	73.81	73.82	73.78	73.78	45400	3350624.00
2020/11/26	1005	73.76	73.78	73.70	73.75	57200	4218112.00
2020/11/26	1006	73.71	73.93	73.71	73.93	156600	11563040.00
2020/11/26	1007	73.91	74.00	73.91	73.95	217500	16091744.00
2020/11/26	1008	73.95	73.95	73.83	73.87	52400	3872288.00
2020/11/26	1009	73.88	73.91	73.83	73.90	50700	3739712.00
2020/11/26	1010	73.87	73.94	73.87	73.87	91500	6761280.00
2020/11/26	1011	73.87	73.88	73.83	73.83	46200	3412512.00
2020/11/26	1012	73.84	73.89	73.84	73.89	49800	3678912.00
2020/11/26	1013	73.90	73.90	73.83	73.85	148100	10946688.00
2020/11/26	1014	73.83	73.85	73.83	73.84	50200	3706976.00
2020/11/26	1015	73.84	73.85	73.72	73.79	94400	6967680.00
2020/11/26	1016	73.72	73.79	73.70	73.79	58500	4313408.00
2020/11/26	1017	73.75	73.79	73.75	73.79	44800	3304896.00
2020/11/26	1018	73.79	73.79	73.76	73.76	50200	3703616.00
2020/11/26	1019	73.75	73.77	73.72	73.72	50000	3683904.00
2020/11/26	1020	73.74	73.74	73.72	73.73	38200	2816576.00
2020/11/26	1021	73.73	73.74	73.72	73.74	96200	7092416.00
2020/11/26	1022	73.74	73.78	73.74	73.78	68300	5037952.00
2020/11/26	1023	73.81	74.00	73.81	74.00	299000	22110592.00
2020/11/26	1024	74.00	74.05	74.00	74.03	104000	7698624.00
2020/11/26	1025	74.03	74.03	73.91	73.96	90200	6673280.00
2020/11/26	1026	73.91	73.97	73.91	73.92	60000	4435712.00
2020/11/26	1027	73.91	73.92	73.86	73.86	34100	2520128.00
2020/11/26	1028	73.86	73.86	73.80	73.81	88100	6502848.00
2020/11/26	1029	73.80	73.84	73.80	73.82	60700	4480512.00
2020/11/26	1030	73.82	73.83	73.75	73.76	111300	8218880.00
2020/11/26	1031	73.80	73.82	73.76	73.82	93900	6929984.00
2020/11/26	1032	73.81	73.85	73.81	73.81	89800	6629376.00
2020/11/26	1033	73.82	73.86	73.82	73.85	50600	3730752.00
2020/11/26	1034	73.88	73.92	73.85	73.90	65400	4832000.00
2020/11/26	1035	73.87	73.90	73.85	73.90	52700	3893696.00
2020/11/26	1036	73.90	73.91	73.90	73.90	79400	5868096.00
2020/11/26	1037	73.90	73.92	73.88	73.89	38400	2837952.00
2020/11/26	1038	73.88	73.90	73.87	73.90	29000	2142912.00
2020/11/26	1039	73.89	73.91	73.89	73.90	26700	1973120.00
2020/11/26	1040	73.91	73.95	73.90	73.95	81400	6016256.00
2020/11/26	1041	73.94	73.96	73.93	73.95	47600	3520000.00
2020/11/26	1042	73.97	73.97	73.93	73.93	46500	3438720.00
2020/11/26	1043	73.93	73.96	73.93	73.95	33200	2455104.00
2020/11/26	1044	73.96	73.96	73.91	73.92	64500	4769088.00
2020/11/26	1045	73.91	73.94	73.89	73.94	64900	4801152.00
2020/11/26	1046	73.93	73.97	73.93	73.95	31700	2344128.00
2020/11/26	1047	73.94	73.95	73.90	73.92	52900	3910464.00
2020/11/26	1048	73.90	73.94	73.89	73.90	55100	4067008.00
2020/11/26	1049	73.89	73.89	73.85	73.87	35900	2651840.00
2020/11/26	1050	73.85	73.85	73.74	73.74	142400	10505856.00
2020/11/26	1051	73.74	73.74	73.66	73.66	57700	4252672.00
2020/11/26	1052	73.66	73.66	73.51	73.52	53100	3908416.00
2020/11/26	1053	73.51	73.52	73.45	73.45	95200	6996544.00
2020/11/26	1054	73.45	73.49	73.40	73.49	83900	6162880.00
2020/11/26	1055	73.46	73.68	73.46	73.60	63200	4646272.00
2020/11/26	1056	73.65	73.69	73.65	73.68	32200	2372224.00
2020/11/26	1057	73.65	73.70	73.65	73.69	57900	4269248.00
2020/11/26	1058	73.70	73.71	73.68	73.69	23000	1694848.00
2020/11/26	1059	73.69	73.69	73.62	73.62	78600	5786368.00
2020/11/26	1100	73.62	73.62	73.59	73.60	65800	4843456.00
2020/11/26	1101	73.61	73.61	73.52	73.52	36700	2700672.00
2020/11/26	1102	73.55	73.58	73.52	73.58	37700	2770688.00
2020/11/26	1103	73.60	73.65	73.59	73.63	43800	3224192.00
2020/11/26	1104	73.64	73.71	73.64	73.69	37900	2792256.00
2020/11/26	1105	73.69	73.74	73.68	73.74	45800	3376192.00
2020/11/26	1106	73.74	73.75	73.72	73.73	52200	3850368.00
2020/11/26	1107	73.73	73.80	73.73	73.80	12300	907264.00
2020/11/26	1108	73.80	73.89	73.80	73.87	34600	2560704.00
2020/11/26	1109	73.88	73.91	73.88	73.91	60200	4448512.00
2020/11/26	1110	73.91	73.92	73.88	73.88	75500	5579968.00
2020/11/26	1111	73.88	73.90	73.87	73.87	20300	1499904.00
2020/11/26	1112	73.90	73.94	73.88	73.92	45300	3348032.00
2020/11/26	1113	73.93	73.94	73.90	73.93	32000	2365888.00
2020/11/26	1114	73.92	73.94	73.90	73.90	18700	1382400.00
2020/11/26	1115	73.90	73.93	73.89	73.90	24000	1772992.00
2020/11/26	1116	73.92	73.94	73.92	73.93	24000	1774208.00
2020/11/26	1117	73.93	73.93	73.88	73.89	34900	2579200.00
2020/11/26	1118	73.89	73.90	73.88	73.90	43900	3244032.00
2020/11/26	1119	73.90	73.90	73.88	73.88	15600	1152640.00
2020/11/26	1120	73.88	73.89	73.87	73.88	16100	1189504.00
2020/11/26	1121	73.89	73.89	73.87	73.89	59200	4373760.00
2020/11/26	1122	73.89	73.95	73.88	73.95	122500	9051008.00
2020/11/26	1123	73.90	73.95	73.90	73.94	40600	3001728.00
2020/11/26	1124	73.90	73.94	73.90	73.90	38000	2809408.00
2020/11/26	1125	73.90	73.90	73.89	73.90	36400	2689600.00
2020/11/26	1126	73.90	73.90	73.89	73.90	25500	1884352.00
2020/11/26	1127	73.90	73.90	73.89	73.90	18200	1344896.00
2020/11/26	1128	73.89	73.91	73.89	73.91	25000	1847552.00
2020/11/26	1129	73.89	73.92	73.89	73.90	12000	886912.00
2020/11/26	1130	74.00	74.04	74.00	74.03	328300	24295424.00
2020/11/26	1301	74.06	74.20	74.06	74.20	215100	15933440.00
2020/11/26	1302	74.20	74.28	74.20	74.27	183500	13627840.00
2020/11/26	1303	74.27	74.28	74.20	74.24	67400	5005312.00
2020/11/26	1304	74.22	74.22	74.18	74.18	33500	2485824.00
2020/11/26	1305	74.18	74.20	74.13	74.20	64600	4791424.00
2020/11/26	1306	74.18	74.22	74.15	74.22	62500	4634304.00
2020/11/26	1307	74.22	74.43	74.22	74.43	528000	39248832.00
2020/11/26	1308	74.44	74.71	74.44	74.71	472900	35247424.00
2020/11/26	1309	74.72	74.77	74.69	74.70	231000	17259328.00
2020/11/26	1310	74.70	74.72	74.64	74.64	102800	7677952.00
2020/11/26	1311	74.65	74.72	74.58	74.72	156700	11691776.00
2020/11/26	1312	74.74	74.94	74.74	74.93	256700	19213440.00
2020/11/26	1313	74.95	75.00	74.91	74.99	532200	39905728.00
2020/11/26	1314	74.98	75.00	74.98	75.00	443000	33226752.00
2020/11/26	1315	75.00	75.12	75.00	75.12	279400	20963328.00
2020/11/26	1316	75.11	75.15	75.10	75.10	195000	14648960.00
2020/11/26	1317	75.05	75.07	74.94	74.94	130700	9804544.00
2020/11/26	1318	74.94	74.94	74.80	74.80	93000	6961792.00
2020/11/26	1319	74.79	74.80	74.67	74.67	44800	3347456.00
2020/11/26	1320	74.67	74.82	74.65	74.80	137100	10248192.00
2020/11/26	1321	74.80	75.00	74.80	75.00	178800	13405952.00
2020/11/26	1322	75.00	75.09	74.99	75.00	221600	16625024.00
2020/11/26	1323	75.00	75.00	74.82	74.82	121600	9109632.00
2020/11/26	1324	74.82	74.98	74.81	74.98	96700	7250816.00
2020/11/26	1325	74.98	75.00	74.98	74.98	149000	11174656.00
2020/11/26	1326	75.00	75.07	75.00	75.05	126800	9513856.00
2020/11/26	1327	75.09	75.13	75.00	75.01	378300	28412288.00
2020/11/26	1328	75.06	75.06	74.93	74.94	83600	6271232.00
2020/11/26	1329	74.91	74.91	74.88	74.90	94400	7070848.00
2020/11/26	1330	74.89	74.90	74.87	74.90	54600	4089088.00
2020/11/26	1331	74.88	74.90	74.88	74.90	39500	2958208.00
2020/11/26	1332	74.90	74.92	74.89	74.90	38500	2883968.00
2020/11/26	1333	74.90	74.90	74.88	74.88	63600	4763264.00
2020/11/26	1334	74.90	74.96	74.90	74.92	89600	6706688.00
2020/11/26	1335	74.93	74.94	74.90	74.92	61800	4630016.00
2020/11/26	1336	74.92	74.94	74.91	74.92	52300	3918976.00
2020/11/26	1337	74.95	75.00	74.95	74.96	240100	18001280.00
2020/11/26	1338	74.96	74.97	74.95	74.96	96200	7214976.00
2020/11/26	1339	74.95	74.97	74.95	74.97	95900	7190528.00
2020/11/26	1340	74.96	74.97	74.95	74.96	195400	14646144.00
2020/11/26	1341	74.97	75.00	74.96	74.97	134800	10108160.00
2020/11/26	1342	74.97	75.00	74.95	74.95	90800	6807168.00
2020/11/26	1343	74.95	75.00	74.95	74.97	57100	4281472.00
2020/11/26	1344	74.98	74.99	74.96	74.98	162400	12174976.00
2020/11/26	1345	74.99	75.03	74.99	75.00	139200	10440960.00
2020/11/26	1346	75.02	75.20	75.00	75.19	405400	30457344.00
2020/11/26	1347	75.21	75.30	75.21	75.29	396400	29838720.00
2020/11/26	1348	75.28	75.29	75.21	75.23	148600	11183104.00
2020/11/26	1349	75.23	75.25	75.22	75.22	144600	10879872.00
