002739 万达电影 1分钟线 不复权
      日期	    时间	    开盘	    最高	    最低	    收盘	    成交量	    成交额
2020/11/26	0931	19.30	19.55	19.26	19.49	571100	11068787.00
2020/11/26	0932	19.47	19.64	19.45	19.64	272300	5314464.00
2020/11/26	0933	19.60	19.67	19.60	19.61	273900	5378353.00
2020/11/26	0934	19.61	19.65	19.61	19.65	214900	4218716.00
2020/11/26	0935	19.65	19.66	19.50	19.50	373400	7304112.00
2020/11/26	0936	19.53	19.55	19.46	19.49	221900	4328468.00
2020/11/26	0937	19.51	19.54	19.48	19.49	165900	3235972.00
2020/11/26	0938	19.50	19.53	19.49	19.51	109600	2137632.00
2020/11/26	0939	19.51	19.63	19.51	19.63	524300	10266064.00
2020/11/26	0940	19.62	19.63	19.58	19.60	82600	1619368.00
2020/11/26	0941	19.59	19.70	19.57	19.65	531500	10436844.00
2020/11/26	0942	19.65	19.69	19.60	19.63	332700	6541428.00
2020/11/26	0943	19.62	19.65	19.60	19.60	143900	2824272.00
2020/11/26	0944	19.60	19.69	19.59	19.60	358600	7040192.00
2020/11/26	0945	19.63	19.63	19.43	19.45	349700	6832344.00
2020/11/26	0946	19.45	19.48	19.37	19.39	218800	4251112.00
2020/11/26	0947	19.39	19.42	19.37	19.39	213300	4133744.00
2020/11/26	0948	19.38	19.38	19.30	19.35	324300	6270160.00
2020/11/26	0949	19.34	19.35	19.32	19.32	279100	5397384.00
2020/11/26	0950	19.32	19.34	19.32	19.34	98800	1910032.00
2020/11/26	0951	19.35	19.42	19.35	19.42	119900	2323384.00
2020/11/26	0952	19.40	19.42	19.38	19.38	91800	1781128.00
2020/11/26	0953	19.38	19.38	19.35	19.35	138000	2671632.00
2020/11/26	0954	19.35	19.37	19.30	19.36	313700	6060240.00
2020/11/26	0955	19.36	19.42	19.36	19.41	183700	3562000.00
2020/11/26	0956	19.42	19.48	19.42	19.47	114000	2217488.00
2020/11/26	0957	19.48	19.49	19.47	19.48	131300	2557880.00
2020/11/26	0958	19.49	19.53	19.46	19.52	199800	3895248.00
2020/11/26	0959	19.50	19.52	19.48	19.48	84400	1646416.00
2020/11/26	1000	19.48	19.48	19.44	19.44	89800	1748032.00
2020/11/26	1001	19.45	19.46	19.44	19.46	78400	1524624.00
2020/11/26	1002	19.46	19.48	19.42	19.42	81300	1581696.00
2020/11/26	1003	19.43	19.43	19.37	19.38	63900	1239744.00
2020/11/26	1004	19.38	19.41	19.38	19.39	47500	921216.00
2020/11/26	1005	19.39	19.39	19.32	19.36	169600	3281584.00
2020/11/26	1006	19.36	19.36	19.32	19.32	59600	1153008.00
2020/11/26	1007	19.32	19.40	19.31	19.40	141200	2731808.00
2020/11/26	1008	19.40	19.42	19.38	19.39	66600	1292416.00
2020/11/26	1009	19.38	19.45	19.38	19.44	99800	1936896.00
2020/11/26	1010	19.44	19.44	19.39	19.41	69800	1354928.00
2020/11/26	1011	19.41	19.47	19.40	19.47	109300	2124528.00
